Image URL,Item Name,MRP,Incl.GST,Margins
https://images-eu.ssl-images-amazon.com/images/I/41KZxoa2DZL._AA160_.jpg,Himalaya Herbals Baby Cream (50ml),70.00,53.36,31.18%
https://images-eu.ssl-images-amazon.com/images/I/51RsFWnYkgL._AA160_.jpg,"Pedigree Puppy Wet Dog Food, Chicken Chunks in Gravy, 80g Pouch",35.00,29.13,20.15%
https://images-eu.ssl-images-amazon.com/images/I/51JRgPLRvqL._AA160_.jpg,Cello Technotip Ball Pen Set - Count of 10 (Blue),100.00,60.19,66.14%
https://images-eu.ssl-images-amazon.com/images/I/31znvAbZhbL._AA160_.jpg,Lenovo ThinkPad 90W AC Adapter,"6,370.00","1,956.00",225.66%
https://images-eu.ssl-images-amazon.com/images/I/519yMZ2ZtfL._AA160_.jpg,Lifebuoy Total 10 Germ Protection Soap Bar 125 g,22.00,19.99,10.06%
https://images-eu.ssl-images-amazon.com/images/I/31AtkNzrb9L._AA160_.jpg,Gala No Dust Floor Broom (Freedom from new broom dust - Bhusa) [Pack of 2],360.00,262.80,36.99%
https://images-eu.ssl-images-amazon.com/images/I/51SFaKraGhL._AA160_.jpg,"Aashirvaad Superior MP Atta, 1 Kg",56.00,47.52,17.85%
https://images-eu.ssl-images-amazon.com/images/I/41mk5L6cOXL._AA160_.jpg,Origami So.Soft Wet Wipes - 10 Pulls (Lemon),40.00,28.63,39.71%
https://images-eu.ssl-images-amazon.com/images/I/41tacpcPM7L._AA160_.jpg,Stayfree Extra Large With Wings 6 Pads,35.00,29.70,17.85%
https://images-eu.ssl-images-amazon.com/images/I/51c7dgQPI4L._AA160_.jpg,"Nestlé LACTOGEN 1 Infant Formula Powder - Upto 6 months, Stage 1, 400g BIB Pack",320.00,293.57,9.00%
https://images-eu.ssl-images-amazon.com/images/I/51tEz26FY8L._AA160_.jpg,"Classmate Notebook - 240mm x 180mm, Soft Cover, 72 Pages, Single Line - Pack of 24",600.00,438.78,36.74%
https://images-eu.ssl-images-amazon.com/images/I/41LhKuDM8IL._AA160_.jpg,"Rorito Fasty Gel Pen, Blue (5 Pens)",25.00,18.50,35.14%
https://images-eu.ssl-images-amazon.com/images/I/51RRWh3cf-L._AA160_.jpg,"Pedigree Adult Wet Dog Food, Chicken & Liver Chunks in Gravy, 80g Pouch",35.00,29.13,20.15%
https://images-eu.ssl-images-amazon.com/images/I/4152Y7rqq2L._AA160_.jpg,POND'S White Beauty Spot-less Fairness Day Cream 23 g,67.00,57.76,16.00%
https://images-eu.ssl-images-amazon.com/images/I/51OXi8kn-dL._AA160_.jpg,"Sri Bhagyalakshmi Gram Flour, 500g",53.00,37.00,43.24%
